"filename", "language", "JavaScript", "JSON", "CSS", "Markdown", "HTML", "comment", "blank", "total"
"c:/Users/Will/inventory-app-front-end/src/components/InputValidation/sanitizeData.js", "JavaScript", -32, 0, 0, 0, 0, -8, -11, -51
"c:/Users/Will/inventory-app-front-end/src/components/InputValidation/userValidation.js", "JavaScript", -72, 0, 0, 0, 0, -1, -9, -82
"c:/Users/Will/inventory-app-front-end/src/components/ItemModals/AddItemModal.js", "JavaScript", -281, 0, 0, 0, 0, -25, -30, -336
"c:/Users/Will/inventory-app-front-end/src/components/ItemModals/DeleteItemModal.js", "JavaScript", -90, 0, 0, 0, 0, -6, -11, -107
"c:/Users/Will/inventory-app-front-end/src/components/ItemModals/EditItemModal.js", "JavaScript", -292, 0, 0, 0, 0, -25, -28, -345
"c:/Users/Will/inventory-app-front-end/src/components/ItemModals/SignItemInModal.js", "JavaScript", -88, 0, 0, 0, 0, -8, -11, -107
"c:/Users/Will/inventory-app-front-end/src/components/ItemModals/SignItemOutModal.js", "JavaScript", -139, 0, 0, 0, 0, -13, -16, -168
"c:/Users/Will/inventory-app-front-end/src/components/ItemModals/index.js", "JavaScript", -12, 0, 0, 0, 0, -3, -1, -16
"c:/Users/Will/inventory-app-front-end/src/components/LogModals/AdminLogModal.js", "JavaScript", -60, 0, 0, 0, 0, -3, -7, -70
"c:/Users/Will/inventory-app-front-end/src/components/LogModals/ItemLogModal.js", "JavaScript", -60, 0, 0, 0, 0, -4, -7, -71
"c:/Users/Will/inventory-app-front-end/src/components/ProfileModals/LoginModal.js", "JavaScript", -72, 0, 0, 0, 0, -3, -5, -80
"c:/Users/Will/inventory-app-front-end/src/components/ProfileModals/LogoutModal.js", "JavaScript", -37, 0, 0, 0, 0, -3, -5, -45
"c:/Users/Will/inventory-app-front-end/src/components/Table.js", "JavaScript", -72, 0, 0, 0, 0, 0, -4, -76
"c:/Users/Will/inventory-app-front-end/src/components/ToggleSwitch.js", "JavaScript", -20, 0, 0, 0, 0, 0, -3, -23
"c:/Users/Will/inventory-app-front-end/src/components/UserModals/AddUserModal.js", "JavaScript", -456, 0, 0, 0, 0, -30, -39, -525
"c:/Users/Will/inventory-app-front-end/src/components/UserModals/DeleteUserModal.js", "JavaScript", -98, 0, 0, 0, 0, -7, -13, -118
"c:/Users/Will/inventory-app-front-end/src/components/UserModals/EditUserModal.js", "JavaScript", -502, 0, 0, 0, 0, -38, -41, -581
"c:/Users/Will/inventory-app-front-end/src/components/UserModals/index.js", "JavaScript", -8, 0, 0, 0, 0, -3, -1, -12
"c:/Users/Will/inventory-app-front-end/src/controllers/AdminLogController.js", "JavaScript", -22, 0, 0, 0, 0, -9, -7, -38
"c:/Users/Will/inventory-app-front-end/src/controllers/AuthController.js", "JavaScript", -110, 0, 0, 0, 0, -31, -24, -165
"c:/Users/Will/inventory-app-front-end/src/controllers/GenericController.js", "JavaScript", -25, 0, 0, 0, 0, -21, -7, -53
"c:/Users/Will/inventory-app-front-end/src/controllers/ItemController.js", "JavaScript", -34, 0, 0, 0, 0, -16, -11, -61
"c:/Users/Will/inventory-app-front-end/src/controllers/ItemLogController.js", "JavaScript", -22, 0, 0, 0, 0, -9, -7, -38
"c:/Users/Will/inventory-app-front-end/src/controllers/LoginLogoutController.js", "JavaScript", -31, 0, 0, 0, 0, -5, -7, -43
"c:/Users/Will/inventory-app-front-end/src/controllers/UserController.js", "JavaScript", -53, 0, 0, 0, 0, -16, -15, -84
"c:/Users/Will/inventory-app-front-end/src/controllers/index.js", "JavaScript", -12, 0, 0, 0, 0, -2, -1, -15
"c:/Users/Will/inventory-app-front-end/src/index.js", "JavaScript", -14, 0, 0, 0, 0, -4, -2, -20
"c:/Users/Will/inventory-app-front-end/src/registerServiceWorker.js", "JavaScript", -79, 0, 0, 0, 0, -28, -11, -118
"c:/Users/Will/inventory-app-front-end/src/styles/App.css", "CSS", 0, 0, -96, 0, 0, -23, -19, -138
"c:/Users/Will/inventory-app-front-end/src/styles/ErrorBoundary.css", "CSS", 0, 0, -11, 0, 0, 0, -1, -12
"c:/Users/Will/inventory-app-front-end/src/styles/Modal.css", "CSS", 0, 0, -143, 0, 0, -19, -29, -191
"c:/Users/Will/inventory-app-front-end/src/styles/ToggleSwitch.css", "CSS", 0, 0, -73, 0, 0, -3, -5, -81
"c:/Users/Will/inventory-app-front-end/src/styles/table.css", "CSS", 0, 0, -135, 0, 0, -21, -27, -183
"Total", "-", 249, -16192, -458, -38, -20, -245, -120, -16824
