"filename", "language", "JavaScript", "Markdown", "JSON", "CSS", "comment", "blank", "total"
"/home/williamglass/inventory-app-front-end/src/components/itemModals/AddItemModal.js", "JavaScript", 278, 0, 0, 0, 8, 27, 313
"/home/williamglass/inventory-app-front-end/src/components/itemModals/DeleteItemModal.js", "JavaScript", 94, 0, 0, 0, 7, 19, 120
"/home/williamglass/inventory-app-front-end/src/components/itemModals/EditItemModal.js", "JavaScript", 368, 0, 0, 0, 11, 30, 409
"/home/williamglass/inventory-app-front-end/src/components/itemModals/SignItemInModal.js", "JavaScript", 126, 0, 0, 0, 8, 19, 153
"/home/williamglass/inventory-app-front-end/src/components/itemModals/SignItemOutModal.js", "JavaScript", 216, 0, 0, 0, 14, 26, 256
"/home/williamglass/inventory-app-front-end/src/components/itemModals/index.js", "JavaScript", 12, 0, 0, 0, 3, 1, 16
"/home/williamglass/inventory-app-front-end/src/components/logModals/AdminLogModal.js", "JavaScript", 109, 0, 0, 0, 5, 16, 130
"/home/williamglass/inventory-app-front-end/src/components/logModals/ApproveUsersModal.js", "JavaScript", 178, 0, 0, 0, 2, 20, 200
"/home/williamglass/inventory-app-front-end/src/components/logModals/ItemLogModal.js", "JavaScript", 104, 0, 0, 0, 5, 13, 122
"/home/williamglass/inventory-app-front-end/src/components/logModals/ViewNoteModal.js", "JavaScript", 56, 0, 0, 0, 0, 8, 64
"/home/williamglass/inventory-app-front-end/src/components/logModals/index.js", "JavaScript", 10, 0, 0, 0, 0, 1, 11
"/home/williamglass/inventory-app-front-end/src/components/profileModals/LoginModal.js", "JavaScript", 154, 0, 0, 0, 8, 15, 177
"/home/williamglass/inventory-app-front-end/src/components/profileModals/LogoutModal.js", "JavaScript", 65, 0, 0, 0, 4, 11, 80
"/home/williamglass/inventory-app-front-end/src/components/profileModals/index.js", "JavaScript", 6, 0, 0, 0, 0, 1, 7
"/home/williamglass/inventory-app-front-end/src/components/tableStuff/Table.js", "JavaScript", 142, 0, 0, 0, 0, 7, 149
"/home/williamglass/inventory-app-front-end/src/components/tableStuff/TableNav.js", "JavaScript", 30, 0, 0, 0, 0, 2, 32
"/home/williamglass/inventory-app-front-end/src/components/tableStuff/index.js", "JavaScript", 6, 0, 0, 0, 0, 1, 7
"/home/williamglass/inventory-app-front-end/src/components/userModals/AddUserModal.js", "JavaScript", 352, 0, 0, 0, 12, 32, 396
"/home/williamglass/inventory-app-front-end/src/components/userModals/DeleteUserModal.js", "JavaScript", 109, 0, 0, 0, 7, 18, 134
