"filename", "language", "JSON", "JavaScript", "Markdown", "HTML", "CSS", "comment", "blank", "total"
"/home/williamglass/inventory-app-front-end/src/components/userModals/DeleteUserModal.js", "JavaScript", 0, 109, 0, 0, 0, 7, 18, 134
"/home/williamglass/inventory-app-front-end/src/components/userModals/EditUserModal.js", "JavaScript", 0, 424, 0, 0, 0, 22, 31, 477
"/home/williamglass/inventory-app-front-end/src/components/userModals/index.js", "JavaScript", 0, 8, 0, 0, 0, 3, 1, 12
"/home/williamglass/inventory-app-front-end/src/components/utilities/MapNotes.js", "JavaScript", 0, 24, 0, 0, 0, 0, 0, 24
"/home/williamglass/inventory-app-front-end/src/components/utilities/ToggleSwitch.js", "JavaScript", 0, 21, 0, 0, 0, 0, 4, 25
"/home/williamglass/inventory-app-front-end/src/controllers/AdminLogController.js", "JavaScript", 0, 22, 0, 0, 0, 9, 6, 37
"/home/williamglass/inventory-app-front-end/src/controllers/AuthController.js", "JavaScript", 0, 113, 0, 0, 0, 33, 23, 169
"/home/williamglass/inventory-app-front-end/src/controllers/GenericController.js", "JavaScript", 0, 25, 0, 0, 0, 7, 6, 38
"/home/williamglass/inventory-app-front-end/src/controllers/ItemController.js", "JavaScript", 0, 34, 0, 0, 0, 12, 10, 56
"/home/williamglass/inventory-app-front-end/src/controllers/ItemLogController.js", "JavaScript", 0, 22, 0, 0, 0, 9, 7, 38
"/home/williamglass/inventory-app-front-end/src/controllers/LoginLogoutController.js", "JavaScript", 0, 32, 0, 0, 0, 5, 8, 45
"/home/williamglass/inventory-app-front-end/src/controllers/UserController.js", "JavaScript", 0, 60, 0, 0, 0, 18, 15, 93
"/home/williamglass/inventory-app-front-end/src/controllers/index.js", "JavaScript", 0, 14, 0, 0, 0, 2, 1, 17
"/home/williamglass/inventory-app-front-end/src/index.js", "JavaScript", 0, 11, 0, 0, 0, 3, 2, 16
"/home/williamglass/inventory-app-front-end/src/registerServiceWorker.js", "JavaScript", 0, 79, 0, 0, 0, 28, 11, 118
"/home/williamglass/inventory-app-front-end/src/styles/App.css", "CSS", 0, 0, 0, 0, 97, 17, 19, 133
"/home/williamglass/inventory-app-front-end/src/styles/ErrorBoundary.css", "CSS", 0, 0, 0, 0, 11, 0, 1, 12
"/home/williamglass/inventory-app-front-end/src/styles/Modal.css", "CSS", 0, 0, 0, 0, 212, 22, 32, 266
"/home/williamglass/inventory-app-front-end/src/styles/Table.css", "CSS", 0, 0, 0, 0, 195, 22, 33, 250
"/home/williamglass/inventory-app-front-end/src/styles/ToggleSwitch.css", "CSS", 0, 0, 0, 0, 73, 3, 5, 81
"Total", "-", 36193, 4854, 144, 20, 588, 446, 756, 43001
